INCIDENT_KEY,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
47487788,MANHATTAN,,33,0,,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,25-44,M,WHITE HISPANIC
88882381,BROOKLYN,,73,0,,,FALSE,,,,25-44,M,BLACK
158372598,BRONX,,50,0,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK HISPANIC
45295553,BROOKLYN,,73,0,,PVT HOUSE,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK
151173891,STATEN ISLAND,,120,0,,,FALSE,18-24,M,BLACK,18-24,M,BLACK
66217187,QUEENS,,103,0,,,FALSE,UNKNOWN,U,UNKNOWN,<18,F,BLACK
91000085,BRONX,,48,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC
159053820,QUEENS,,105,0,,,FALSE,,,,18-24,M,BLACK
221890614,MANHATTAN,,23,0,,GROCERY/BODEGA,FALSE,,,,18-24,M,BLACK
16631460,MANHATTAN,,10,0,,BAR/NIGHT CLUB,TRUE,25-44,M,BLACK,25-44,M,WHITE HISPANIC
47044335,BROOKLYN,,73,0,,RESTAURANT/DINER,FALSE,18-24,M,BLACK,<18,M,BLACK
25257130,BRONX,,47,0,,,TRUE,45-64,M,BLACK,<18,M,BLACK
144101611,MANHATTAN,,32,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,<18,M,BLACK
137911838,BROOKLYN,,81,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,18-24,M,BLACK
64480707,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK
48066956,QUEENS,,113,0,,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK
171254276,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,TRUE,,,,<18,M,BLACK
75330413,MANHATTAN,,24,0,,MULTI DWELL - APT BUILD,FALSE,45-64,M,BLACK,25-44,M,BLACK
74036631,BRONX,,44,0,,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,18-24,F,BLACK HISPANIC
191681599,QUEENS,,113,0,,MULTI DWELL - APT BUILD,FALSE,,,,45-64,M,BLACK
219688158,BRONX,,46,0,,,FALSE,25-44,M,BLACK HISPANIC,18-24,M,ASIAN / PACIFIC ISLANDER
10240262,BRONX,,50,0,,,FALSE,UNKNOWN,M,BLACK,18-24,M,WHITE HISPANIC
168757909,BROOKLYN,,79,0,,MULTI DWELL - APT BUILD,TRUE,,,,45-64,M,BLACK
83243666,BRONX,,40,0,,FAST FOOD,FALSE,,,,<18,M,BLACK
66073168,BROOKLYN,,73,0,,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
72083622,BROOKLYN,,71,0,,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK
82705732,BROOKLYN,,77,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,WHITE HISPANIC
85861171,MANHATTAN,,28,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK HISPANIC
173220452,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,F,BLACK
187132145,BRONX,,50,0,,,TRUE,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC
52144003,BROOKLYN,,63,0,,,TRUE,,,,18-24,M,BLACK
147808522,BROOKLYN,,75,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC
37806339,BROOKLYN,,77,0,,,FALSE,18-24,M,BLACK,25-44,M,BLACK HISPANIC
91728834,BRONX,,42,0,,MULTI DWELL - APT BUILD,FALSE,<18,M,BLACK,25-44,M,WHITE HISPANIC
139128444,BRONX,,44,0,,,FALSE,,,,18-24,M,BLACK
145810840,MANHATTAN,,26,0,,,FALSE,,,,25-44,M,BLACK
211958806,BRONX,,42,0,,,FALSE,,,,25-44,M,BLACK HISPANIC
46421624,BROOKLYN,,77,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
16692673,QUEENS,,110,0,,,FALSE,UNKNOWN,M,UNKNOWN,18-24,M,ASIAN / PACIFIC ISLANDER
54474358,QUEENS,,113,0,,PVT HOUSE,TRUE,25-44,M,BLACK,25-44,M,BLACK
29301881,BROOKLYN,,73,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK
51559646,MANHATTAN,,24,0,,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK HISPANIC,25-44,M,BLACK
68566523,QUEENS,,101,0,,,TRUE,,,,25-44,M,BLACK
69249389,BROOKLYN,,70,0,,,TRUE,,,,25-44,F,BLACK
24118984,BROOKLYN,,88,0,,GROCERY/BODEGA,FALSE,18-24,M,BLACK,<18,M,WHITE HISPANIC
60315460,BRONX,,43,0,,MULTI DWELL - APT BUILD,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
90864497,QUEENS,,103,0,,,FALSE,25-44,M,BLACK,18-24,F,BLACK
82485719,MANHATTAN,,25,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK
23588709,BRONX,,44,0,,,FALSE,18-24,M,BLACK,18-24,M,BLACK
87895430,BRONX,,45,0,,,FALSE,,,,18-24,M,WHITE
29098923,BROOKLYN,,77,0,,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
23974386,QUEENS,,105,0,,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK
215485983,BRONX,,48,0,,,FALSE,,,,25-44,M,WHITE HISPANIC
85189747,BRONX,,47,0,,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,<18,F,BLACK HISPANIC
48480859,MANHATTAN,,23,0,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK HISPANIC,<18,F,WHITE HISPANIC
85875439,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,TRUE,18-24,M,BLACK,18-24,M,BLACK
80166320,MANHATTAN,,32,0,,,FALSE,<18,M,BLACK,25-44,M,BLACK HISPANIC
186606273,BROOKLYN,,94,2,,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,BLACK
202853370,BRONX,,42,0,,,FALSE,25-44,M,UNKNOWN,25-44,M,BLACK
138083734,BROOKLYN,,67,0,,GROCERY/BODEGA,FALSE,,,,25-44,M,BLACK
142141764,BRONX,,40,0,,,FALSE,18-24,M,BLACK,<18,M,WHITE HISPANIC
10879228,BROOKLYN,,67,0,,PVT HOUSE,FALSE,UNKNOWN,M,BLACK,25-44,F,BLACK
90677638,BRONX,,42,0,,,FALSE,18-24,M,BLACK,18-24,M,BLACK
188192586,BROOKLYN,,75,0,,,FALSE,,,,45-64,F,WHITE
66463022,BRONX,,43,0,,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
52214156,BROOKLYN,,75,0,,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK
34545400,BROOKLYN,,76,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK
206898907,BRONX,,43,0,,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,25-44,M,BLACK
71454844,QUEENS,,103,0,,PVT HOUSE,TRUE,,,,18-24,M,BLACK
85172127,BROOKLYN,,75,0,,PVT HOUSE,FALSE,25-44,M,BLACK,25-44,M,BLACK
215816856,STATEN ISLAND,,120,0,,,FALSE,,,,25-44,M,BLACK
46361473,BRONX,,48,0,,,FALSE,,,,18-24,M,WHITE HISPANIC
203041423,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,F,BLACK
153451720,BRONX,,50,0,,,FALSE,,,,25-44,F,BLACK
80620545,QUEENS,,113,0,,,FALSE,,,,25-44,M,BLACK
69526313,BROOKLYN,,83,0,,,FALSE,25-44,M,UNKNOWN,25-44,M,WHITE
88171515,MANHATTAN,,25,0,,,FALSE,,,,45-64,F,BLACK
